DrugBank ID,Common name
Compound::DB03633,Lpc-Ether
Compound::DB03634,"1,3-DI(N-Propyloxy-A-mannopyranosyl)-carbomyl 5-methyazido-benzene"
Compound::DB03635,Ethanesulfonic acid
Compound::DB03636,Glycinamide
Compound::DB03637,Guanidine-3-propanol
Compound::DB03638,Cytidyl-2'-5'-phospho-guanosine
Compound::DB03639,1-Guanidinium-7-Aminoheptane
Compound::DB03640,Beta-Hydroxyaspartic Acid
Compound::DB03641,"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate"
Compound::DB03642,N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide
Compound::DB03643,CRA_1144
Compound::DB03644,3-hydroxyanthranilic acid
Compound::DB03645,Phosphonoacetohydroxamic Acid
Compound::DB03646,"2,3-di-O-phytanyl-sn-glycerol"
Compound::DB03647,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid
Compound::DB03648,"(2S,2'S)-2,2'-(1,2-Hydrazinediylbis{methylene[(2S)-1-oxo-2,1-hexanediyl]imino})bis(6-amino-N-phenylhexanamide)"
Compound::DB03649,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate"
Compound::DB03650,(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One
Compound::DB03651,Picric acid
Compound::DB03652,beta-D-Galactopyranuronic acid
Compound::DB03653,"5-{[Ethyl(Methyl)Amino]Methyl}-2-Methyl-5,6-Dihydropyrimidin-4-Amine"
Compound::DB03654,"S,S-Propylthiocysteine"
Compound::DB03656,Tribenuron Methyl
Compound::DB03657,1-deoxy-1-methoxycarbamido-beta-D-glucopyranose
Compound::DB03658,"(2R,4S)-2-[(1R)-1-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
Compound::DB03659,Butylamine
Compound::DB03660,4-Iodo-L-phenylalanine
Compound::DB03661,L-cysteic acid
Compound::DB03662,Vitamin B6 Complexed with 2-Amino-Pentanoic Acid
Compound::DB03663,"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol"
Compound::DB03664,P1-(adenosine-5'-P5-(uridine-5')pentaphosphate
Compound::DB03666,Zidovudine monophosphate
Compound::DB03667,Acetic Acid Salicyloyl-Amino-Ester
Compound::DB03668,6-oxouridine 5'-phosphate
Compound::DB03669,4-Fluorophenethyl Alcohol
Compound::DB03670,"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid"
Compound::DB03671,Digoxigenin
Compound::DB03672,9-N-Phenylmethylamino-Tacrine
Compound::DB03673,beta-2-Thienyl-L-alanine
Compound::DB03675,"2,3-Dihydroxy-Valerianic Acid"
Compound::DB03676,Cystein-S-Yl Cacodylate
Compound::DB03677,N-Cyclohexyl-N'-Decylurea
Compound::DB03678,"(6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine"
Compound::DB03679,2-Hydroxy-Tryptophan
Compound::DB03680,Tartronate
Compound::DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid"
Compound::DB03683,2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid
Compound::DB03685,Uridine monophosphate
Compound::DB03686,S-(4-nitrobenzyl)glutathione
Compound::DB03687,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
Compound::DB03688,Hydracrylic acid
Compound::DB03690,"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide"
Compound::DB03691,WRR-112
Compound::DB03692,1-Hexadecanosulfonyl-O-L-Serine
Compound::DB03693,N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide
Compound::DB03694,N-phenylthiourea
Compound::DB03695,Piritrexim
Compound::DB03696,Lanosterol
Compound::DB03697,4-Sulfonamide-[1-(4-Aminobutane)]Benzamide
Compound::DB03698,5-Mercaptoethanol-2-decenoyl-coenzyme A
Compound::DB03699,Succinyl-Coenzyme A
Compound::DB03700,D-Threonine
Compound::DB03701,Vanoxerine
Compound::DB03702,"N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide"
Compound::DB03703,Cyclohexanol
Compound::DB03704,12-Hydroxydodecanoic Acid
Compound::DB03705,6-Methylamino-5-Nitroisocytosine
Compound::DB03706,1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane
Compound::DB03707,S-Ethyl-N-Phenyl-Isothiourea
Compound::DB03708,Adenosine 5'-phosphosulfate
Compound::DB03709,Bicine
Compound::DB03710,[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium
Compound::DB03711,6-Hydroxy-6-Methyl-Heptan-3-One
Compound::DB03712,RU85053
Compound::DB03714,4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid
Compound::DB03716,5'-Fluoro-5'-Deoxyadenosine
Compound::DB03717,"3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one"
Compound::DB03718,6-aza uridine 5'-monophosphate
Compound::DB03719,N-Ethyl-5'-Carboxamido Adenosine
Compound::DB03720,"alpha,beta-Dehydroaminobutyric acid"
Compound::DB03721,N-acetyl-alpha-neuraminic acid
Compound::DB03722,"3,4-Dihydro-5-Methyl-Isoquinolinone"
Compound::DB03723,2'-Deoxy-thymidine-beta-L-rhamnose
Compound::DB03724,"(1s,2s)-1-Amino-1-(1,3-Thiazol-2-Yl)Propan-2-Ol"
Compound::DB03725,5'-Guanylylmethylenebisphosphonate
Compound::DB03726,Purine Riboside-5'-Monophosphate
Compound::DB03727,Coproporphyrin I
Compound::DB03728,p-Chlorobenzoic acid
Compound::DB03729,2-Amino-1H-benzimidazol-5-ol
Compound::DB03730,"3,9-Dimethyladenine"
Compound::DB03731,S-2-(Boronoethyl)-L-Cysteine
Compound::DB03732,Etheno-Nadp
Compound::DB03733,Ethylene Dichloride
Compound::DB03734,Xylarohydroxamate
Compound::DB03735,9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine
Compound::DB03736,2-Cyclopropylmethylenepropanal
Compound::DB03737,"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One"
Compound::DB03738,Pantothenoylaminoethenethiol
Compound::DB03739,3-Hydroxyimino Quinic Acid
Compound::DB03740,N-acetyl-alpha-D-glucosamine
Compound::DB03741,2-Methylbutanoic Acid
Compound::DB03742,Compound 4-D
Compound::DB03744,"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate"
Compound::DB03745,Arabinose-5-phosphate
Compound::DB03746,"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate"
Compound::DB03747,N-Acetyl-glucosamine thiazoline
Compound::DB03748,Methyl-[4-(4-Piperidine-1-Ylmethyl-Phenyl)-Cyclohexyl]-Carbaminic Acid-(4-Chlorophenyl)-Ester
Compound::DB03749,"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole"
Compound::DB03750,Isovaleric Acid
Compound::DB03751,2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose
Compound::DB03752,P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid
Compound::DB03753,Flurbiprofen Methyl Ester
Compound::DB03754,Tromethamine
Compound::DB03755,"Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate"
Compound::DB03756,Doconexent
Compound::DB03757,N-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-alanyl-L-alaninamide
Compound::DB03758,Radicicol
Compound::DB03759,FG-9041
Compound::DB03760,Dihydrolipoic Acid
Compound::DB03761,5-fluoro-2'-deoxyuridine-5'-monophosphate
Compound::DB03763,5-methyl-2'-deoxypseudouridine
Compound::DB03764,4-Hydroperoxy-2-Methoxy-Phenol
Compound::DB03765,2'-cytidylic acid
Compound::DB03766,Propanoic acid
Compound::DB03767,Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide
Compound::DB03768,"N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3"
Compound::DB03769,D-Eritadenine
Compound::DB03770,N-hydroxyguanidine
Compound::DB03771,Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine
Compound::DB03772,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol"
Compound::DB03773,alpha-D-quinovopyranose
Compound::DB03774,Glutamyl Group
Compound::DB03775,Dethiobiotin
Compound::DB03776,Lactaldehyde
Compound::DB03777,Bisindolylmaleimide I
Compound::DB03779,Glucosaminyl-(Alpha-6)-D-Myo-Inositol
Compound::DB03780,2-Aminoquinazolin-4(3h)-One
Compound::DB03781,"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid"
Compound::DB03782,N-(1-adamantyl)-N'-(4-guanidinobenzyl)urea
Compound::DB03783,Phenacetin
Compound::DB03784,Elaidamide
Compound::DB03785,Mevinolinic acid
Compound::DB03787,"(5-Hydroxy-6-methyl-4-{[(E)-(3-oxo-1,2-oxazolidin-4-ylidene)amino]methyl}-3-pyridinyl)methyl dihydrogen phosphate"
Compound::DB03788,GC-24
Compound::DB03789,"2,3-Dimethylimidazolium Ion"
Compound::DB03790,L-methionine sulfone
Compound::DB03791,GW-3965
Compound::DB03792,5-Aminouracil
Compound::DB03793,Benzoic acid
Compound::DB03794,Trifluoroalanine
Compound::DB03795,2-Dehydropantoate
Compound::DB03796,Palmitic Acid
Compound::DB03797,3-Aminomethyl-Pyridinium-Adenine-Dinucleotide
Compound::DB03798,2'-Deoxycytidine-5'-Monophosphate
Compound::DB03799,Trifluoromethionine
Compound::DB03800,Deoxyuridine monophosphate
Compound::DB03801,Lysine Nz-Carboxylic Acid
Compound::DB03802,"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol"
Compound::DB03803,"N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]"
Compound::DB03804,5-Bromothienyldeoxyuridine
Compound::DB03807,"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester"
Compound::DB03808,Hexamidine
Compound::DB03809,9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
Compound::DB03810,3-Methylglutamic acid
Compound::DB03811,Histidinol
Compound::DB03812,"3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate"
Compound::DB03813,2-Decenoyl N-acetyl cysteamine
Compound::DB03814,2-(N-morpholino)ethanesulfonic acid
Compound::DB03815,Fucitol
Compound::DB03816,Difluoromethionine
Compound::DB03817,"L-2,4-diaminobutyric acid"
Compound::DB03818,N-[Tosyl-D-Prolinyl]Amino-Ethanethiol
Compound::DB03819,Salicylhydroxamic Acid
Compound::DB03820,"(2S,5R,6R)-6-({(6S)-6-[(Ammonioacetyl)amino]-6-carboxylatohexanoyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
Compound::DB03821,2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid
Compound::DB03822,Ethyl dihydrogen phosphate
Compound::DB03823,Epigallocatechin
Compound::DB03824,"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline"
Compound::DB03825,Rhodamine 6G
Compound::DB03826,"5,6-Diaminouracil"
Compound::DB03827,"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine"
Compound::DB03828,RU78299
Compound::DB03829,Pseudouridine-5'-Monophosphate
Compound::DB03830,Phosphorylated Dihydropteroate
Compound::DB03831,"[(Z)-octadec-9-enyl] (2R)-2,3-bis(oxidanyl)propanoate"
Compound::DB03832,"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium"
Compound::DB03833,"2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole"
Compound::DB03834,"(3S)-3-(dioxidosulfanyl)-N-[(1Z)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine"
Compound::DB03835,"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide"
Compound::DB03836,"1,3,5-trichlorobenzene"
Compound::DB03837,Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide
Compound::DB03839,D-Tyrosine
Compound::DB03840,Tetra(Imidazole)Diaquacopper (Ii)
Compound::DB03841,Niraxostat
Compound::DB03842,2-Chloro-6-Methyl-Aniline
Compound::DB03843,Formaldehyde
Compound::DB03844,"N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide"
Compound::DB03845,P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate
Compound::DB03846,2'-deoxy-5-(hydroxymethyl)uridine 5'-(dihydrogen phosphate)
Compound::DB03847,gamma-carboxy-L-glutamic acid
Compound::DB03848,Benzenesulfinic acid
Compound::DB03849,Cilomilast
Compound::DB03850,Jaspisamide A
Compound::DB03851,Carbazole Butanoic Acid
Compound::DB03852,Eucalyptol
Compound::DB03853,Reactive Red 6 hapten
Compound::DB03854,Cadaverine
Compound::DB03855,L-Threonohydroxamate 4-Phosphate
Compound::DB03856,L-Eflornithine
Compound::DB03857,"1,4-dithio-beta-D-glucopyranose"
Compound::DB03858,S-Acetonylcysteine
Compound::DB03859,1-thio-beta-D-glucopyranose
Compound::DB03860,ICI-164384
Compound::DB03861,"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine"
Compound::DB03862,Tetrahydrooxazine
Compound::DB03863,2-O-Methyl-beta-L-fucopyranose
Compound::DB03864,Monothioglycerol
Compound::DB03865,6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine
Compound::DB03866,Prostaglandin G2
Compound::DB03867,3-nitro-L-tyrosine
Compound::DB03868,3-Dehydroquinic Acid
Compound::DB03869,5'-O-(L-Serylsulfamoyl)adenosine
Compound::DB03870,"Ara-Alpha(1,3)-Xyl"
Compound::DB03871,"lambda-bis(2,2'-bipyridine)imidazole ruthenium (II)"
Compound::DB03872,"2,3-Dideoxyfucose"
Compound::DB03874,"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine"
Compound::DB03876,"Thieno[2,3-B]Pyridine-2-Carboxamidine"
Compound::DB03877,AL-4623
Compound::DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide
Compound::DB03879,alpha-L-methyl-fucose
Compound::DB03880,Batimastat
Compound::DB03881,"(2S,3R,4S,5S)-3,4-Dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium"
Compound::DB03882,"5-Alpha-Androstane-3-Beta,17beta-Diol"
Compound::DB03883,Carboxyethyllumazine
Compound::DB03884,Phenylpyruvic acid
Compound::DB03885,L-gamma-glutamyl-S-(naphthalen-1-ylmethyl)-L-cysteinylglycine
Compound::DB03886,Biopterin
Compound::DB03887,Alpha-Adenosine Monophosphate
Compound::DB03888,N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine
Compound::DB03889,S-(N-hydroxy-N-bromophenylcarbamoyl)glutathione
Compound::DB03890,N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide
Compound::DB03891,"Dibenzyl (carbonylbis{2,1-hydrazinediyl[(2S)-4-methyl-1-oxo-1,2-pentanediyl]})biscarbamate"
Compound::DB03892,5-N-Allyl-arginine
Compound::DB03893,Thionicotinamide-Adenine-Dinucleotide
Compound::DB03894,N-Propargyl-1(S)-Aminoindan
Compound::DB03895,Malachite Green
Compound::DB03896,Triphosphoric acid
Compound::DB03897,Phloretic acid
Compound::DB03898,3-Chloro-4-Hydroxyphenylglycine
Compound::DB03899,9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
Compound::DB03900,tert-butanol
Compound::DB03901,5-Oxoprolinal
Compound::DB03902,Oxalic Acid
Compound::DB03903,Tmr
Compound::DB03904,Urea
Compound::DB03905,Succinamide-CoA
Compound::DB03906,2-Phenylheme
Compound::DB03907,"N-[(E)-3-[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]prop-2-enyl]-2,3-dihydroxy-5-nitrobenzamide"
Compound::DB03908,"N,N-[2,5-O-[Dibenzyl]-glucaryl]-DI-[isoleucyl-amido-methane]"
Compound::DB03909,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate"
Compound::DB03910,"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea"
Compound::DB03911,L-Xylopyranose
Compound::DB03912,D-pantetheine 4'-phosphate
Compound::DB03913,Coenzyme F420
Compound::DB03914,"[2-(1-amino-2-hydroxy-propyl)-4-(1H-indol-3-ylmethylene)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde"
Compound::DB03915,2-Amino-3-Ketobutyric Acid
Compound::DB03916,4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine
Compound::DB03917,N-Ethylretinamide
Compound::DB03918,"6S-5,6,7,8-Tetrahydrobiopterin"
Compound::DB03919,Ethyl-Carbamic Acid Methyl Ester
Compound::DB03920,N-Methyl-Alpha-Beta-Dehydroalanine
Compound::DB03921,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline
Compound::DB03923,Feruloyl Coenzyme A
Compound::DB03924,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone"
Compound::DB03925,Freselestat
Compound::DB03926,"5alpha-androstane-3beta,17alpha-diol"
Compound::DB03927,Glycyl-L-alpha-amino-epsilon-pimelyl-D-alanine
Compound::DB03928,"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol"
Compound::DB03929,D-Serine
Compound::DB03930,4-Methyl-Pyrroline-5-Carboxylic Acid
Compound::DB03931,Diguanosine-5'-Triphosphate
Compound::DB03932,LFA703
Compound::DB03933,C-1027 Aromatized chromophore
Compound::DB03934,Zinc protoporphyrin
Compound::DB03935,"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid"
Compound::DB03936,1-Deoxy-Ribofuranose-5'-Phosphate
Compound::DB03937,D-erythrose 4-phosphate
Compound::DB03938,Deacetoxycephalosporin C
Compound::DB03939,"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone"
Compound::DB03940,Oxamic Acid
Compound::DB03941,p-Heptylphenol
Compound::DB03942,Carboxylic PRPP
Compound::DB03943,D-Asparagine
Compound::DB03944,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One"
Compound::DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium"
Compound::DB03946,"3,4-Dihydroxybenzoic Acid"
Compound::DB03947,D-Xylulose
Compound::DB03948,"6-Chloropurine Riboside, 5'-Monophosphate"
Compound::DB03949,N-[(2S)-3-Phenyl-2-sulfanylpropanoyl]-L-phenylalanyl-L-tyrosine
Compound::DB03950,(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide
Compound::DB03951,N-acetyl-D-glucosamine-6-phosphate
Compound::DB03952,9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine
Compound::DB03953,Thiocitrulline
Compound::DB03955,1-deoxymannojirimycin
Compound::DB03956,"Inositol 2,4,5-trisphosphate"
Compound::DB03957,SP2456
Compound::DB03958,7-methyl-guanosine-5'-triphosphate-5'-guanosine
Compound::DB03959,"N,O6-Disulfo-Glucosamine"
Compound::DB03960,Cp-Coeleneterazine
Compound::DB03961,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate"
Compound::DB03962,Nicotinamide 8-bromo-adenine dinucleotide phosphate
Compound::DB03963,S-(Dimethylarsenic)Cysteine
Compound::DB03964,4-Hydroxy-Aconitate Ion
Compound::DB03966,Clorobiocin
Compound::DB03967,Dodecyl sulfate
Compound::DB03968,"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine"
Compound::DB03970,"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid"
Compound::DB03971,Acarbose Derived Hexasaccharide
Compound::DB03972,"2-Amino-4h-1,3-Benzoxathiin-4-Ol"
Compound::DB03973,"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate"
Compound::DB03974,L-homoarginine
Compound::DB03975,Mercuribenzoic Acid
Compound::DB03976,Phosphorylisopropane
Compound::DB03977,Trimethyllysine
Compound::DB03978,Tyrosinal
Compound::DB03979,1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol
Compound::DB03980,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole
Compound::DB03981,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid"
Compound::DB03982,"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid"
Compound::DB03983,"{[2-Amino-4-oxo-6,7-di(sulfanyl-κS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(dioxo)sulfanylmolybdenum"
Compound::DB03984,Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide
Compound::DB03985,R-azabisabolene
Compound::DB03986,6-methyl-formycin A
Compound::DB03987,"2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine"
Compound::DB03988,"2,6-Diamino-Hexanoic Acid Amide"
Compound::DB03989,D-Allopyranose
Compound::DB03990,4'-nitrophenyl-3i-thiolaminaritrioside
Compound::DB03991,"2-deoxy-2,3-dehydro-N-acetylneuraminic acid"
Compound::DB03992,3-(Benzoylamino)-L-Alanine
Compound::DB03993,Isocaproic acid
Compound::DB03994,Ethanolamine
Compound::DB03995,Betadex
Compound::DB03996,"3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol"
Compound::DB03997,L-histidinol phosphate
Compound::DB03998,"[2-(Methyleneamine)-4-(4-Hydroxy-Benzylidine)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde"
Compound::DB03999,Butylphosphonate
Compound::DB04000,Bromo-Willardiine
Compound::DB04001,6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid
Compound::DB04002,4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide
Compound::DB04003,{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid
Compound::DB04004,"2,6-Diamino-8-(2-Dimethylaminoethylsulfanylmethyl)-3h-Quinazolin-4-One"
Compound::DB04005,Uridine 5'-triphosphate
Compound::DB04006,"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone"
Compound::DB04007,Bromo-WR99210
Compound::DB04008,Zinc;[amino-[2-[[5-[amino(azaniumylidene)methyl]benzimidazol-1-id-2-yl]methyl]benzimidazol-1-id-5-yl]methylidene]azanium
Compound::DB04009,Dimethyl Propionate Ester Heme
Compound::DB04010,2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide
Compound::DB04011,"2'-(4-Dimethylaminophenyl)-5-(4-Methyl-1-Piperazinyl)-2,5'-Bi-Benzimidazole"
Compound::DB04012,"(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine"
Compound::DB04013,1-Deoxy-1-methoxycarbamido-beta-D-gluco-2-heptulopyranosonamide
Compound::DB04014,Alsterpaullone
Compound::DB04015,Methionine Phosphinate
Compound::DB04016,2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid
Compound::DB04017,Clorgiline
Compound::DB04018,S-Isopropyl-Isothiourea
Compound::DB04020,"4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol"
Compound::DB04021,MF268
Compound::DB04022,Guanosine tetraphosphate
Compound::DB04023,GDP-alpha-D-mannuronic acid
Compound::DB04024,Serine-3'-aminoadenosine
Compound::DB04026,Pseudotropine
Compound::DB04027,D-arginine
Compound::DB04028,Tyvelose
Compound::DB04029,Phenylalanylamide
Compound::DB04030,"1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole"
Compound::DB04031,Serine vanadate
Compound::DB04032,Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide
Compound::DB04033,Z-Ala Prolinal
Compound::DB04034,Ribulose-5-Phosphate
Compound::DB04035,Ceftazidime BATSI
Compound::DB04036,Coenzyme A persulfide
Compound::DB04037,"N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine"
Compound::DB04038,Ergosterol
Compound::DB04039,3-Oxo-Pentadecanoic Acid
Compound::DB04040,"N-[1,3-Di(4-morpholinyl)-2-propanyl]-3-(α-D-galactopyranosyloxy)-5-nitrobenzamide"
Compound::DB04041,Nitrocefin Acyl-Serine
